<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
32451787700.0,130888692900.0,17806779400.0,131093777900.0,19525404000.0,131383672500.0,18375470900.0,131265140700.0,18108123000.0,130749713600.0,20416900500.0,131290542100.0,18199303700.0,130683379600.0,17867316500.0,130831187800.0,114584869600.0,226297947700.0,113815098100.0,225714773500.0,76.16485626,58.033776352348596,17.8067794,131.3836725,112.97013191,76.8247929442726,17.8673165,226.2979477
31787148400.0,132108603700.0,20577596300.0,132492751800.0,21846041400.0,132073541100.0,20900842900.0,132383740600.0,19648246000.0,132356016700.0,21437269100.0,131884690400.0,20348770800.0,132496120100.0,20947106600.0,168131192800.0,118013198700.0,230960735900.0,117939069200.0,230301810500.0,77.61745289,57.718975613614695,19.648246,132.4927518,119.24599641,79.26870589634765,20.3487708,230.9607359
32331404100.0,132353618200.0,20268748800.0,132049767800.0,19510017600.0,132296841900.0,20628357900.0,132523061900.0,21989436400.0,132242022400.0,18417521700.0,132091095000.0,21333363600.0,132177203200.0,19366156500.0,233768593200.0,121817259900.0,234099388500.0,121702324500.0,234046270300.0,77.6193277,57.740450888975566,19.5100176,132.5230619,126.88191764,87.54482141676982,18.4175217,234.0993885
32822019300.0,131693805900.0,18617372600.0,131935165500.0,21056138100.0,131998884100.0,19283321500.0,132088114100.0,20255746800.0,132098682800.0,20148231200.0,131575023800.0,19236031600.0,132148066300.0,18593383900.0,236297538900.0,124446866600.0,236317345900.0,123842253300.0,236356830200.0,77.18492507,57.87481830698634,18.6173726,132.0986828,127.89615717,88.62744153534717,18.5933839,236.3568302
33350666800.0,133870495600.0,21157824100.0,133798372300.0,21683784200.0,133996425600.0,21641944300.0,134481510500.0,21744368600.0,134826288100.0,21775118000.0,134390313600.0,20981863100.0,133954929500.0,21549416600.0,241783172700.0,128013110500.0,242279681900.0,128055942600.0,241928735000.0,79.05516801,58.2293007065536,21.1578241,134.8262881,131.47122835,90.06809335370313,20.9818631,242.2796819
34448377000.0,136931088500.0,21403980300.0,138140690000.0,19406516700.0,137409110000.0,21500956600.0,134311412200.0,22172918800.0,133994529700.0,20571352100.0,137794742400.0,22109403700.0,137217932100.0,20498818300.0,248630046100.0,131246776400.0,249307742300.0,131292688700.0,248580128700.0,79.97195798,59.375031182651405,19.4065167,138.14069,134.72496308,93.01554228854188,20.4988183,249.3077423
35128377000.0,137449681100.0,20692293200.0,137332415300.0,21178244300.0,137475865600.0,21488904900.0,137562556900.0,20271441600.0,137593486200.0,21751025300.0,137366284200.0,21287865100.0,137229846200.0,19849352800.0,251401161100.0,134681992700.0,252037543800.0,134556373200.0,251632891900.0,80.61732661,60.092066434852605,20.2714416,137.5934862,136.17943363,94.19994025317382,19.8493528,252.0375438
35352548700.0,138813472100.0,21944213500.0,138565564600.0,21773756600.0,138524394200.0,22367579300.0,139377404000.0,22067590500.0,139046481200.0,21705423400.0,138988012700.0,22417021600.0,138742148100.0,21890527700.0,256297204600.0,138438524300.0,256750592600.0,138422570900.0,256289953100.0,81.78330047,60.30131809549105,21.7737566,139.377404,138.9941979,95.7112099504311,21.7054234,256.7505926
35255507200.0,137642523100.0,20906838600.0,137303856500.0,20867812900.0,137470785800.0,21609634600.0,138812887800.0,21898480000.0,138926745000.0,20480294600.0,137908803300.0,21969942900.0,137641415900.0,21471275600.0,258537585600.0,141878146100.0,259115542700.0,142050410900.0,258772264000.0,81.06950715,60.189580642304726,20.8678129,138.926745,139.98256816,96.97038486949275,20.4802946,259.1155427
36030414000.0,137742729100.0,20632293200.0,135716449600.0,22058900000.0,135957080800.0,21830750300.0,137839458800.0,21157632100.0,137808909100.0,21845112900.0,137668041300.0,21379319600.0,137786418400.0,22173362000.0,261514072300.0,144913449000.0,261372133000.0,145245450300.0,261394475300.0,80.6774617,59.54786112150499,20.6322932,137.8394588,141.52918341,97.85854504311988,21.3793196,261.5140723
